ANIO,CIF,TECNOLOGIA,CNAE,MODALIDAD,CONFIG_MEDIDA,PROVINCIA,NINSTALACIONES,POTINSTALADA,ENERGENERADA,ENEREXCEDENTARIA
2024,F22003412,1,1,1,1,22,5,178.00,0,0
2024,F22003412,1,1,1,1,25,1,10.00,0,0
2024,F22003412,1,1,2,1,22,63,928.80,0,420574
2024,F22003412,1,1,2,1,25,6,63.20,0,50653
2024,F22003412,1,2,2,1,22,2,14.60,0,10174
2024,F22003412,1,2,2,1,25,1,8.00,0,1969
2024,F22003412,1,3,1,1,25,1,30.00,0,0
2024,F22003412,1,3,2,1,22,13,271.96,0,3120831
2024,F22003412,1,3,2,1,25,2,18.00,0,7499
2024,F22003412,1,5,1,1,22,1,63.00,0,0
