ANIO,CIF,CAU,TECNOLOGIA,PROVINCIA,NIVTENSION,CNAE,MODALIDAD,CONFIG_MEDIDA,NINSTALACIONES,POTINSTALADA,ENERGENERADA,ENEREXCEDENTARIA
2024,F22003412,ES0291000000000304EQ0FA001,1,22,2,5,1,1,1,63.00,0,0
2024,F22003412,ES0291000000002267QR0FA001,1,22,2,1,1,1,1,48.00,0,0
2024,F22003412,ES0291000000002522GA0FA001,1,22,2,1,2,1,1,17.00,0,8614
2024,F22003412,ES0291000000002345LX0FA000,1,22,2,1,2,1,1,66.00,0,0
2024,F22003412,ES0291000000003479EV0FA001,1,22,2,3,2,1,1,100.00,0,3081433
2024,F22003412,ES0291000000002815QC0FA000,1,22,1,1,2,1,1,4.59,0,2456
2024,F22003412,ES0291000000003450KB0FA000,1,22,1,1,2,1,1,6.00,0,7096
2024,F22003412,ES0291000000001733SL0FA000,1,25,1,1,2,1,1,6.00,0,4529
2024,F22003412,ES0291000000001763VA0FA000,1,25,1,1,2,1,1,6.20,0,1209
2024,F22003412,ES0291000000003404LB0FA000,1,25,2,1,2,1,1,36.00,0,33826
2024,F22003412,ES0291000000003100YY0FA000,1,22,1,1,2,1,1,3.00,0,1642
2024,F22003412,ES0291000000002752ZA0FA000,1,22,1,1,2,1,1,2.00,0,2885
2024,F22003412,ES0291000000003197XB0FA000,1,22,1,1,2,1,1,3.60,0,3429
2024,F22003412,ES0291000000001212QG0FA000,1,22,1,1,1,1,1,5.00,0,0
2024,F22003412,ES0291000000002179NM0FA000,1,22,2,1,1,1,1,60.00,0,0
2024,F22003412,ES0291000000002421EV0FA000,1,22,2,1,2,1,1,50.00,0,12384
2024,F22003412,ES0291000000003412LL0FA000,1,22,2,1,1,1,1,20.00,0,0
2024,F22003412,ES0291000000002931KK0FA000,1,25,1,3,2,1,1,10.00,0,2176
2024,F22003412,ES0291000000001666NK0FA000,1,22,1,1,2,1,1,5.00,0,3857
2024,F22003412,ES0291000000003114YC0FA000,1,22,2,1,2,1,1,50.00,0,0
2024,F22003412,ES0291000000003127FX0FA000,1,22,1,1,2,1,1,6.00,0,2659
2024,F22003412,ES0291000000001490MY0FA000,1,22,1,3,2,1,1,7.00,0,2995
2024,F22003412,ES0291000000002751ZW0FA000,1,22,1,1,2,1,1,5.00,0,4289
2024,F22003412,ES0291000000001295LH0FA000,1,22,1,3,2,1,1,6.00,0,4430
2024,F22003412,ES0291000000001101BP0FA000,1,22,1,1,2,1,1,5.00,0,4742
2024,F22003412,ES0291000000003321SC0FA000,1,22,1,1,2,1,1,4.50,0,3234
2024,F22003412,ES0291000000003567AJ0FA000,1,22,2,3,2,1,1,25.00,0,15872
2024,F22003412,ES0291000000002186NN0FA000,1,22,2,1,2,1,1,74.62,0,0
2024,F22003412,ES0291000000003529RK0FA000,1,22,1,1,2,1,1,4.00,0,1352
2024,F22003412,ES0291000000001882EF0FA000,1,22,1,3,2,1,1,5.00,0,1455
2024,F22003412,ES0291000000000610JT0fA000,1,22,2,1,2,1,1,54.00,0,15779
2024,F22003412,ES0291000000002689BD0FA000,1,22,1,1,2,1,1,5.00,0,502
2024,F22003412,ES0291000000001075XM0FA000,1,22,1,1,2,1,1,10.00,0,11509
2024,F22003412,ES0291000000002619PP0FA000,1,22,1,1,2,1,1,5.00,0,3462
2024,F22003412,ES0291000000001709ZH0FA000,1,25,1,1,2,1,1,5.00,0,5995
2024,F22003412,ES0291000000002408EG0FA000,1,22,2,1,2,1,1,20.00,0,11921
2024,F22003412,ES0291000000003108YZ0FA000,1,22,2,1,2,1,1,60.00,0,37265
2024,F22003412,ES0291000000000913AG0FA000,1,22,1,3,2,1,1,10.00,0,3724
2024,F22003412,ES0291000000001930RD0FA000,1,25,1,1,1,1,1,10.00,0,0
