zona_carta | No enviar
enviament  | email
count      | 5
string_agg | 2022006999, 2022007127, 2024021062, 2024025238, 2024025143
string_agg | 2022-10-24, 2022-10-24, 2024-03-06, 2024-06-11, 2024-06-11
error      | El campo enviament esta en modo email, no se va a imprimir a menos que utilicemos el forzar

zona_carta | SIN ZONA
enviament  | email
count      | 1
string_agg | 2022004883
string_agg | 2022-10-06
error      | El campo enviament esta en modo email, no se va a imprimir a menos que utilicemos el forzar

zona_carta | 
enviament  | email
count      | 12
string_agg | 2022006632, 2022006942, 2022008823, 2022010706, 2022010461, 2022012678, 2022012784, 2023019122, 2023019130, 2024025139, 2024025144, 2024025153
string_agg | 2022-10-24, 2022-10-24, 2022-10-26, 2022-10-29, 2022-10-31, 2022-12-02, 2022-12-07, 2023-12-19, 2023-12-19, 2024-06-11, 2024-06-11, 2024-06-11
error      | El campo enviament esta en modo email, no se va a imprimir a menos que utilicemos el forzar. zona_carta esta en blanco, solo se va a imprimir si en el desplegable de zonas del asistente le indicamos sin zona.

zona_carta | No enviar
enviament  | postal
count      | 314
string_agg | 2022004362, 2022005250, 2022005258, 2022005267, 2022005269, 2022005270, 2022005271, 2022005274, 2022005290, 2022005292, 2022005294, 2022005301, 2022006249, 2022006269, 2022006618, 2022006620, 2022006622, 2022006623, 2022006628, 2022006633, 2022006634, 2022006635, 2022006636, 2022006639, 2022006649, 2022006650, 2022006652, 2022006654, 2022006655, 2022006658, 2022006659, 2022006661, 2022006662, 2022006663, 2022006665, 2022006667, 2022006668, 2022006669, 2022006671, 2022006672, 2022006710, 2022006736, 2022006929, 2022006930, 2022006932, 2022006933, 2022006934, 2022006935, 2022006937, 2022006938, 2022006939, 2022006941, 2022006943, 2022006945, 2022006946, 2022006947, 2022006948, 2022006949, 2022006950, 2022006951, 2022006952, 2022006953, 2022006954, 2022006956, 2022006957, 2022006958, 2022006959, 2022006960, 2022006961, 2022006962, 2022006963, 2022006964, 2022006965, 2022006970, 2022006971, 2022006972, 2022006973, 2022006974, 2022006975, 2022006976, 2022006977, 2022006979, 2022006980, 2022006981, 2022006984, 2022006985, 2022006986, 2022006987, 2022006988, 2022006989, 2022006990, 2022006991, 2022006992, 2022006993, 2022006994, 2022006995, 2022006996, 2022006997, 2022006998, 2022007000, 2022007001, 2022007003, 2022007086, 2022007087, 2022007088, 2022007089, 2022007090, 2022007091, 2022007093, 2022007094, 2022007095, 2022007096, 2022007097, 2022007098, 2022007099, 2022007100, 2022007101, 2022007102, 2022007103, 2022007104, 2022007105, 2022007106, 2022007107, 2022007108, 2022007109, 2022007110, 2022007111, 2022007112, 2022007113, 2022007114, 2022007116, 2022007117, 2022007118, 2022007119, 2022007120, 2022007121, 2022007122, 2022007123, 2022007124, 2022007125, 2022007126, 2022007128, 2022007129, 2022007130, 2022007133, 2022007134, 2022007135, 2022007136, 2022007137, 2022007138, 2022007139, 2022007140, 2022007141, 2022007142, 2022007143, 2022007144, 2022007147, 2022007156, 2022007157, 2022007169, 2022007172, 2022007174, 2022007175, 2022007176, 2022007177, 2022007180, 2022007181, 2022007184, 2022007188, 2022007189, 2022007190, 2022007192, 2022007194, 2022007195, 2022007196, 2022007197, 2022007198, 2022007199, 2022007200, 2022007201, 2022007202, 2022007203, 2022007207, 2022007226, 2022007412, 2022007413, 2022007414, 2022007415, 2022007416, 2022007417, 2022007418, 2022007419, 2022007421, 2022007423, 2022007425, 2022007426, 2022007427, 2022007428, 2022007430, 2022007431, 2022007432, 2022007433, 2022007434, 2022007435, 2022007437, 2022007439, 2022007440, 2022007441, 2022007442, 2022007443, 2022007445, 2022007446, 2022007447, 2022007449, 2022007450, 2022007451, 2022007453, 2022007455, 2022007456, 2022008039, 2022008040, 2022008041, 2022008048, 2022008051, 2022005252, 2022005256, 2022005277, 2022005281, 2022005296, 2022005306, 2022005312, 2022005313, 2022005317, 2022008270, 2022008271, 2022008273, 2022008274, 2022008275, 2022008276, 2022008278, 2022008282, 2022008284, 2022008285, 2022008286, 2022008288, 2022008289, 2022008290, 2022008291, 2022008292, 2022008293, 2022008298, 2022008299, 2022008301, 2022008302, 2022008303, 2022008304, 2022008305, 2022008306, 2022008307, 2022008308, 2022008309, 2022008310, 2022008311, 2022008312, 2022008313, 2022008314, 2022008315, 2022008316, 2022008317, 2022008336, 2022008337, 2022008466, 2022008476, 2022008512, 2022008513, 2022008515, 2022008516, 2022008517, 2022008520, 2022008521, 2022008522, 2022008523, 2022008524, 2022008525, 2022008877, 2022008878, 2022008880, 2022008882, 2022008883, 2022012671, 2022012672, 2022012673, 2022012761, 2022012762, 2022012768, 2022012783, 2023015170, 2023015171, 2023015228, 2023015230, 2023015320, 2023015362, 2023016577, 2023016579, 2023016580, 2023016581, 2023016582, 2023016583, 2023016584, 2023016916, 2023016917, 2023016918, 2023016919, 2023016923
string_agg | 2022-10-05, 2022-10-13, 2022-10-13, 2022-10-13, 2022-10-13, 2022-10-13, 2022-10-13, 2022-10-13, 2022-10-13, 2022-10-13, 2022-10-13, 2022-10-13, 2022-10-20, 2022-10-20, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-25, 2022-10-25, 2022-10-25, 2022-10-25, 2022-10-25, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-26, 2022-10-27, 2022-10-27, 2022-10-27, 2022-10-27, 2022-10-27, 2022-12-02, 2022-12-02, 2022-12-02, 2022-12-07, 2022-12-07, 2022-12-07, 2022-12-07, 2023-02-24, 2023-02-24, 2023-02-28, 2023-02-28, 2023-03-07, 2023-03-08, 2023-07-13, 2023-07-13, 2023-07-13, 2023-07-13, 2023-07-13, 2023-07-13, 2023-07-13, 2023-08-09, 2023-08-09, 2023-08-09, 2023-08-09, 2023-08-09
error      | Todos OK!

zona_carta | 
enviament  | postal
count      | 11
string_agg | 2022007145, 2022007187, 2022007411, 2022007429, 2022008046, 2022008047, 2022008049, 2022008050, 2022008514, 2022008879, 2023015173
string_agg | 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-24, 2022-10-25, 2022-10-25, 2022-10-25, 2022-10-25, 2022-10-26, 2022-10-27, 2023-02-26
error      | zona_carta esta en blanco, solo se va a imprimir si en el desplegable de zonas del asistente le indicamos sin zona.
