   tarifa    |         distribuidora_name          |          name          
-------------+-------------------------------------+------------------------
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000035MF0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000393CC0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000427EP0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000337HX0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000675XA0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000570JL0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000292QB0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000413FT0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000467DP0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000597ST0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000383MQ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000357LF0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000661VH0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000503XK0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000503XK0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000021GQ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000285RX0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000209NC0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000485XA0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000406YQ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000203CC0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000660VV0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000336HD0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000462DA0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000547NL0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000659VQ1F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000003NG0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000121VF0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000319VS0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000089SK0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000475DQ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000207NH0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000557JY0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000591ZV0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000087SL0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000568JV0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000436PT0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000224JN0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000517BN0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000568MB0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000312WZ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000597YV0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000561JX0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000073YE0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000186BC0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000220KZ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000163XC0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000028MT0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000556JM0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000423EG0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000412KQ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000431FH0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000683XB0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000128DP0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000319WK0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000248EL0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000306VW0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000219JF0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000559JP0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000432EJ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000432FL0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000465DY0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000333HY0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000164XK0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000567JQ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000226KC0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000135DS0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000192CD0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000019GZ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000439PA0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000187BK0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000124VX0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000242ZF0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000241ZY0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000609FY0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000162LW0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000315WV0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000111QC0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000474DS0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000433FC0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000735NV0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000139DL0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000508BA0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000291QX0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000174BP0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000466RR0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000438PW0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000230JH0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000188CM0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000192NA0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000146XA0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000525BC0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000277RW0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000685XJ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000286QM0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000001NW0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000000000458TQ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000195CN0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000564JJ0F
 General 2.0 | ELECTRICA SUDANELL, S.L.            | ES0633000001000466DF0F
